"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12307","verify page title is displayed correctly","admin-user","2026-06-03","passed","2026-06-03","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","20195","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-03","passed","2026-06-03","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","21763","Authenticate Admin User","setup-admin-user","2026-06-03","passed","2026-06-03","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","26144","should load dashboard as the default page after successful login","admin-user","2026-06-03","passed","2026-06-03","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
